,Model Name,Network type,Dimensions,Sim,Display type,Display size,OS,RAM,CPU,Main Camera
121,Huawei nova 5i,GSM / CDMA / HSPA / LTE,159.1 x 75.9 x 8.3 mm (6.26 x 2.99 x 0.33 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 101.4 cm2 (~84.0% screen-to-body ratio)","Android 9.0 (Pie), EMUI 9.1","128GB 6GB RAM, 128GB 8GB RAM",Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"24 MP, f/1.8, 27mm (wide), PDAF
8 MP, (ultrawide)
2 MP, f/2.4, 27mm (wide) dedicated macro camera
2 MP, f/2.4, depth sensor"
122,Huawei Y9 Prime (2019),GSM / HSPA / LTE,163.5 x 77.3 x 8.8 mm (6.44 x 3.04 x 0.35 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.59 inches, 106.6 cm2 (~84.3% screen-to-body ratio)",Android 9.0 (Pie); EMUI 9.1,"64GB 4GB RAM, 128GB 4GB RAM",Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"16 MP, f/1.8, (wide), PDAF
8 MP (ultrawide)
2 MP, f/2.4, depth sensor"
123,Huawei P20 lite (2019),GSM / HSPA / LTE,159.1 x 75.9 x 8.3 mm (6.26 x 2.99 x 0.33 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 101.4 cm2 (~84.0% screen-to-body ratio)","Android 9.0 (Pie), EMUI 9.1","64GB 4GB RAM, 128GB 4GB RAM",Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"16 MP, f/1.8, PDAF
8 MP, (ultrawide)
2 MP, f/2.4, 27mm (wide) dedicated macro camera
2 MP, f/2.4, depth sensor"
124,Huawei P Smart Z,GSM / HSPA / LTE,163.5 x 77.3 x 8.8 mm (6.44 x 3.04 x 0.35 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.59 inches, 106.6 cm2 (~84.3% screen-to-body ratio)",Android 9.0 (Pie); EMUI 9,64GB 4GB RAM,Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"16 MP, f/1.8, PDAF
2 MP, f/2.4, depth sensor"
125,Huawei Mate 20 X (5G),GSM / HSPA / LTE / 5G,174.6 x 85.4 x 8.4 mm (6.87 x 3.36 x 0.33 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","7.2 inches, 130.7 cm2 (~87.6% screen-to-body ratio)",Android 9.0 (Pie); EMUI 9.1,256GB 8GB RAM,Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),"40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF, Laser AF
8 MP, f/2.4, 80mm (telephoto), 1/4"", PDAF, Laser AF, OIS, 3x optical zoom
20 MP, f/2.2, 16mm (ultrawide), 1/2.7"", PDAF, Laser AF"
126,Huawei P30 Pro,GSM / HSPA / LTE,158 x 73.4 x 8.4 mm (6.22 x 2.89 x 0.33 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.47 inches, 102.8 cm2 (~88.6% screen-to-body ratio)",Android 9.0 (Pie); EMUI 9.1,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),"40 MP, f/1.6, 27mm (wide), 1/1.7"", PDAF, OIS
Periscope 8 MP, f/3.4, 125mm (telephoto), 1/4"", PDAF, OIS, 5x optical zoom
20 MP, f/2.2, 16mm (ultrawide), 1/2.7"", PDAF
TOF 3D camera"
127,Huawei P30,GSM / HSPA / LTE,149.1 x 71.4 x 7.6 mm (5.87 x 2.81 x 0.30 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","6.1 inches, 91.3 cm2 (~85.8% screen-to-body ratio)",Android 9.0 (Pie); EMUI 9.1,"64GB 8GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),"40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF, Laser AF
8 MP, f/2.4, 80mm (telephoto), 1/4"", PDAF, Laser AF, OIS, 3x optical zoom
16 MP, f/2.2, 17mm (ultrawide), PDAF, Laser AF"
128,Huawei P30 lite,GSM / HSPA / LTE,152.9 x 72.7 x 7.4 mm (6.02 x 2.86 x 0.29 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.15 inches, 93.6 cm2 (~84.2% screen-to-body ratio)","Android 9.0 (Pie), EMUI 9.1","128GB 4GB RAM, 128GB 8GB RAM",Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF
8 MP, 13mm (ultrawide)
2 MP, f/2.4, depth sensor
or
24 MP, f/1.8, (wide), PDAF
8 MP, 13mm (ultrawide)
2 MP, f/2.4, depth sensor"
129,Huawei nova 4e,GSM / HSPA / LTE,152.9 x 72.7 x 7.4 mm (6.02 x 2.86 x 0.29 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.15 inches, 93.6 cm2 (~84.2% screen-to-body ratio)","Android 9.0 (Pie), EMUI 9.0","128GB 4GB RAM, 128GB 8GB RAM",Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"24 MP, f/1.8, (wide), PDAF
8 MP, 13mm (ultrawide)
2 MP, f/2.4, depth sensor"
130,Huawei Y5 (2019),GSM / HSPA / LTE,147.1 x 70.8 x 8.5 mm (5.79 x 2.79 x 0.33 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.71 inches, 81.4 cm2 (~78.1% screen-to-body ratio)",Android 9.0 (Pie); EMUI 9.1,"16GB 2GB RAM, 32GB 2GB RAM",Quad-core 2.0 GHz Cortex-A53,"13 MP, f/1.8, PDAF"
131,Huawei Enjoy 9e,GSM / CDMA / HSPA / LTE,156.3 x 73.5 x 8 mm (6.15 x 2.89 x 0.31 in),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.09 inches, 90.4 cm2 (~78.7% screen-to-body ratio)",Android 9.0 (Pie); EMUI 9,"32GB 3GB RAM, 64GB 3GB RAM",Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"13 MP, f/1.8, PDAF"
132,Huawei Enjoy 9s,GSM / CDMA / HSPA / LTE,155.2 x 73.4 x 8 mm (6.11 x 2.89 x 0.31 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.21 inches, 94.7 cm2 (~83.1% screen-to-body ratio)",Android 9.0 (Pie); EMUI 9,"64GB 4GB RAM, 128GB 4GB RAM",Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"24 MP, PDAF
16 MP, (ultrawide)
2 MP, depth sensor"
133,Huawei Y Max,GSM / HSPA / LTE,177.6 x 86.2 x 8.5 mm (6.99 x 3.39 x 0.33 in),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","7.12 inches, 127.8 cm2 (~83.5% screen-to-body ratio)",Android 8.1 (Oreo); EMUI 8.2,128GB 4GB RAM,Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),"16 MP, f/2.0, PDAF
2 MP, f/2.4, depth sensor"
134,Huawei Mate X,GSM / HSPA / LTE / 5G,Unfolded: 161.3 x 146.2 x 5.4 mmFolded: 161.3 x 78.3 x 11 mm,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","OLED capacitive touchscreen, 16M colors","8.0 inches, 205.0 cm2 (~86.9% screen-to-body ratio)",Android 9.0 (Pie); EMUI 9.1,512GB 8GB RAM,Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),"40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF
8 MP, f/2.4, 52mm (telephoto)
16 MP, f/2.2, 17mm (ultrawide)
TOF 3D camera"
135,Huawei MediaPad M5 Lite 8,GSM / HSPA / LTE,204.2 x 122.2 x 8.2 mm (8.04 x 4.81 x 0.32 in),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm2 (~74.4% screen-to-body ratio)","Android 9.0 (Pie), EMUI 9.0","32GB 3GB RAM, 64GB 4GB RAM",Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"13 MP, f/2.2, AF"
136,Huawei Y6 Pro (2019),GSM / HSPA / LTE,156.3 x 73.5 x 8 mm (6.15 x 2.89 x 0.31 in),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.09 inches, 91.0 cm2 (~79.2% screen-to-body ratio)",Android 9.0 (Pie); EMUI 9,32GB 3GB RAM,Quad-core 2.0 GHz Cortex-A53,"13 MP, f/1.8, PDAF"
137,Huawei Y6 (2019),GSM / HSPA / LTE,156.3 x 73.5 x 8 mm (6.15 x 2.89 x 0.31 in),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.09 inches, 91.0 cm2 (~79.2% screen-to-body ratio)",Android 9.0 (Pie); EMUI 9.1,32GB 2GB RAM,Quad-core 2.0 GHz Cortex-A53,"13 MP, f/1.8, PDAF"
138,Huawei Y7 (2019),GSM / HSPA / LTE,158.9 x 76.9 x 8.1 mm (6.26 x 3.03 x 0.32 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 97.8 cm2 (~80.0% screen-to-body ratio)",Android 8.1 (Oreo); EMUI 8.2,32GB 3GB RAM,Octa-core 1.8 GHz Cortex-A53,"13 MP, f/1.8, PDAF
2 MP, depth sensor"
139,Huawei Y7 Prime (2019),GSM / HSPA / LTE,158.9 x 76.9 x 8.1 mm (6.26 x 3.03 x 0.32 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 97.8 cm2 (~80.0% screen-to-body ratio)",Android 8.1 (Oreo); EMUI 8.2,32GB 3GB RAM,Octa-core 1.8 GHz Cortex-A53,"13 MP, f/1.8, PDAF
2 MP, depth sensor"
140,Huawei Y7 Pro (2019),GSM / HSPA / LTE,158.9 x 76.9 x 8.1 mm (6.26 x 3.03 x 0.32 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 97.8 cm2 (~80.0% screen-to-body ratio)",Android 8.1 (Oreo); EMUI 8.2,"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",Octa-core 1.8 GHz Cortex-A53,"13 MP, f/1.8, PDAF
2 MP, depth sensor"
141,Huawei Y5 lite (2018),GSM / HSPA / LTE,146.5 x 70.9 x 8.3 mm (5.77 x 2.79 x 0.33 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2 (~73.8% screen-to-body ratio)",Android 8.1 Oreo (Go edition); EMUI 8,16GB 1GB RAM,Quad-core 1.5 GHz Cortex-A53,"8 MP, f/2.0, PDAF"
142,Huawei nova 4,GSM / HSPA / LTE,157 x 75.1 x 7.8 mm (6.18 x 2.96 x 0.31 in),"Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 101.4 cm2 (~86.0% screen-to-body ratio)",Android 9.0 (Pie); EMUI 9,"128GB 6GB RAM, 128GB 8GB RAM",Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53),"48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF or 20 MP, f/1.8, (wide), PDAF
16 MP, f/2.2, 13mm (ultrawide)
2 MP, f/2.4, depth sensor"
143,Huawei P smart 2019,GSM / HSPA / LTE,155.2 x 73.4 x 8 mm (6.11 x 2.89 x 0.31 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","6.21 inches, 94.7 cm2 (~83.1% screen-to-body ratio)",Android 9.0 (Pie); EMUI 9.1,"32GB 3GB RAM, 64GB 3GB RAM",Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),"13 MP, f/1.8, PDAF
2 MP, depth sensor"
144,Nokia 7.2,GSM / HSPA / LTE,159.9 x 75.2 x 8.3 mm (6.30 x 2.96 x 0.33 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 99.1 cm2 (~82.4% screen-to-body ratio)",Android 9.0 (Pie); Android One,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM",Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),"48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF
8 MP, f/2.2, 13mm (ultrawide)
5 MP, depth sensor"
145,Nokia 6.2,GSM / HSPA / LTE,159.9 x 75.1 x 8.3 mm (6.30 x 2.96 x 0.33 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.3 inches, 99.1 cm2 (~82.5% screen-to-body ratio)",Android 9.0 (Pie); Android One,"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",Octa-core 1.8 GHz Kryo 260,"16 MP, f/1.8, 27mm (wide), 1.0µm, PDAF
8 MP, f/2.2, 13mm (ultrawide)
5 MP, depth sensor"
146,Nokia 800 Tough,GSM / HSPA / LTE,145.4 x 62.1 x 16.1 mm (5.72 x 2.44 x 0.63 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","TFT, 256K colors","2.4 inches, 17.8 cm2 (~19.8% screen-to-body ratio)",KaiOS,4GB 512MB,Dual-core (2x1.1 GHz Cortex-A7),2 MP
147,Nokia 2720 Flip,GSM / HSPA / LTE,192.7 x 54.5 x 11.6 mm (7.59 x 2.15 x 0.46 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","TFT, 256K colors","2.8 inches, 24.3 cm2 (~23.1% screen-to-body ratio)",KaiOS,4GB 512MB,Dual-core (2x1.1 GHz Cortex-A7),2 MP
148,Nokia 220 4G,GSM / LTE,121.3 x 52.9 x 13.4 mm (4.78 x 2.08 x 0.53 in),"Single SIM (Nano-SIM) or Dual SIM (Mini-SIM, dual stand-by)","TFT, 256K colors","2.4 inches, 17.8 cm2 (~27.8% screen-to-body ratio)",NA,24MB 16MB RAM,NA,0.3 MP
149,Nokia 110 (2019),GSM,115.2 x 49.9 x 14.3 mm (4.54 x 1.96 x 0.56 in),"Dual SIM (Mini-SIM, dual stand-by)","TFT, 65K colors","1.77 inches, 9.7 cm2 (~16.9% screen-to-body ratio)",NA,4MB,NA,QVGA
150,Nokia 105 (2019),GSM,119 x 49.2 x 14.4 mm (4.69 x 1.94 x 0.57 in),"Dual SIM (Mini-SIM, dual stand-by)","TFT, 65K colors","1.77 inches, 9.7 cm2 (~16.6% screen-to-body ratio)",NA,4MB 4MB RAM,NA,No
151,Nokia 3.1 C,GSM / HSPA / LTE,152.7 x 71.9 x 9.4 mm (6.01 x 2.83 x 0.37 in),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2 (~69.8% screen-to-body ratio)",Android 9.0 (Pie),32GB 2GB RAM,Quad-core 1.8 GHz Cortex-A53,"8 MP, f/2.0, AF"
152,Nokia 3.1 A,GSM / HSPA / LTE,152.7 x 71.9 x 9.4 mm (6.01 x 2.83 x 0.37 in),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2 (~69.8% screen-to-body ratio)",Android 9.0 (Pie),32GB 2GB RAM,Quad-core 1.8 GHz Cortex-A53,"8 MP, f/2.0, AF"
153,Nokia 2.2,GSM / HSPA / LTE,146 x 70.6 x 9.3 mm (5.75 x 2.78 x 0.37 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.71 inches, 81.4 cm2 (~79.0% screen-to-body ratio)",Android 9.0 (Pie); Android One,"16GB 2GB RAM, 32GB 3GB RAM",Quad-core 2.0 GHz Cortex-A53,"13 MP, f/2.2, 1/3"", 1.12µm, AF"
154,Nokia X71,GSM / HSPA / LTE,157.2 x 76.5 x 8 mm (6.19 x 3.01 x 0.31 in),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.39 inches, 100.9 cm2 (~83.9% screen-to-body ratio)",Android 9.0 (Pie); Android One,128GB 6GB RAM,Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),"48 MP, f/1.8, (wide), 1/2"", 0.8µm, PDAF
8 MP, 13mm (ultrawide)
5 MP, f/2.4, depth sensor"
155,Nokia 9 PureView,GSM / HSPA / LTE,155 x 75 x 8 mm (6.10 x 2.95 x 0.31 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","P-OLED capacitive touchscreen, 16M colors","5.99 inches, 92.6 cm2 (~79.7% screen-to-body ratio)",Android 9.0 (Pie); Android One,128GB 6GB RAM,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),"5x 12 MP, f/1.8, 28mm (wide), 1/2.9"", 1.25µm
(2x RGB & 3x B/W cameras, working simultaneously)
TOF 3D camera"
156,Nokia 4.2,GSM / HSPA / LTE,149 x 71.3 x 8.4 mm (5.87 x 2.81 x 0.33 in),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.71 inches, 81.4 cm2 (~76.6% screen-to-body ratio)",Android 9.0 (Pie); Android One,"16GB 2GB RAM, 32GB 3GB RAM",Octa-core (2x2.0 GHz Cortex-A53 & 6x1.45 GHz Cortex A53),"13 MP, f/2.2, 1/3"", 1.12µm, PDAF
2 MP, depth sensor"
157,Nokia 3.2,GSM / HSPA / LTE,159.4 x 76.2 x 8.6 mm (6.28 x 3.00 x 0.34 in),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.26 inches, 97.8 cm2 (~80.5% screen-to-body ratio)",Android 9.0 (Pie); Android One,"16GB 2GB RAM, 32GB 3GB RAM",Quad-core 1.8 GHz Cortex-A53,"13 MP, f/2.2, 1/3"", 1.12µm, AF"
158,Nokia 1 Plus,GSM / HSPA / LTE,145 x 70.4 x 8.6 mm (5.71 x 2.77 x 0.34 in),Hybrid Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.45 inches, 76.7 cm2 (~75.1% screen-to-body ratio)",Android 9.0 Pie (Go edition),"8GB 1GB RAM, 16GB 1GB RAM",Quad-core 1.5 GHz Cortex-A53,"8 MP, AF"
159,Nokia 210,GSM,120.8 x 53.5 x 13.8 mm (4.76 x 2.11 x 0.54 in),"Dual SIM (Mini-SIM, dual stand-by)","TFT, 65K colors","2.4 inches, 17.8 cm2 (~27.6% screen-to-body ratio)",NA,16MB,NA,0.3 MP
160,Nokia 8.1 (Nokia X7),GSM / CDMA / HSPA / LTE,154.8 x 75.8 x 8 mm (6.09 x 2.98 x 0.31 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.18 inches, 95.3 cm2 (~81.2% screen-to-body ratio)","Android 9.0 (Pie), upgradable to Android 10.0; Android One","64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM",Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),"12 MP, f/1.8, 1/2.55"", 1.4µm, dual pixel PDAF, OIS
13 MP"
161,Nokia 106 (2018),GSM,111.2 x 49.5 x 14.4 mm (4.38 x 1.95 x 0.57 in),"Dual SIM (Mini-SIM, dual stand-by)","TFT, 65K colors","1.8 inches, 10.0 cm2 (~18.2% screen-to-body ratio)",NA,4MB 4MB RAM,NA,No
162,Nokia 3.1 Plus,GSM / HSPA / LTE,156.9 x 76.4 x 8.2 mm (6.18 x 3.01 x 0.32 in),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm2 (~77.5% screen-to-body ratio)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); Android One","16GB 2GB RAM, 32GB 2GB RAM, 32GB 3GB RAM",Octa-core 2.0 GHz Cortex-A53- GlobalOcta-core (2x1.95 GHz Cortex-A53 & 6x1.45 GHz Cortex A53) - USA,"13 MP, f/2.0, AF
5 MP, f/2.4, depth sensor"
163,Nokia 7.1,GSM / CDMA / HSPA / LTE,149.7 x 71.2 x 8 mm (5.89 x 2.80 x 0.31 in),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.84 inches, 85.1 cm2 (~79.9% screen-to-body ratio)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); Android One","32GB 3GB RAM, 64GB 4GB RAM",Octa-core 1.8 GHz Kryo 260,"12 MP, f/1.8, 1.28µm, Dual Pixel PDAF
5 MP, f/2.4, 1.12µm, depth sensor"
164,Nokia 6.1 Plus (Nokia X6),GSM / HSPA / LTE,147.2 x 71 x 8 mm (5.80 x 2.80 x 0.31 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.8 inches, 85.1 cm2 (~81.5% screen-to-body ratio)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); Android One","32GB 4GB RAM, 64GB 4GB RAM, 64GB 6GB RAM",Octa-core 1.8 GHz Kryo 260,"16 MP, f/2.0, 1.0µm, PDAF
5 MP, f/2.4, 1.12µm, depth sensor"
165,Nokia 5.1 Plus (Nokia X5),GSM / CDMA / HSPA / LTE,149.5 x 72 x 8.1 mm (5.89 x 2.83 x 0.32 in),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.86 inches, 85.7 cm2 (~79.6% screen-to-body ratio)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); Android One","32GB 3GB RAM, 64GB 4GB RAM, 64GB 6GB RAM",Octa-core (4x1.8 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53) - GlobalOcta-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53) - China,"13 MP, f/2.0, PDAF
5 MP, depth sensor"
166,Nokia 5.1,GSM / HSPA / LTE,151.1 x 70.7 x 8.3 mm (5.95 x 2.78 x 0.33 in),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 78.1 cm2 (~73.1% screen-to-body ratio)","Android 8.0 (Oreo), upgradable to Android 9.0 (Pie); Android One","16GB 2GB RAM, 32GB 3GB RAM",Octa-core (4x2.0 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),"16 MP, PDAF"
167,Nokia 3.1,GSM / HSPA / LTE,146.3 x 68.7 x 8.7 mm (5.76 x 2.70 x 0.34 in),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 69.8 cm2 (~69.4% screen-to-body ratio)","Android 8.0 (Oreo), upgradable to Android 9.0 (Pie); Android One","16GB 2GB RAM, 32GB 3GB RAM",Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"13 MP, f/2.0, AF"
168,Nokia 2.1,GSM / HSPA / LTE,153.6 x 77.6 x 9.7 mm (6.05 x 3.06 x 0.38 in),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~70.0% screen-to-body ratio)","Android 8.1 Oreo (Go edition), upgradable to Android 9.0 Pie (Go edition); Android One",8GB 1GB RAM,Quad-core 1.4 GHz Cortex-A53,"8 MP, AF"
169,Nokia 8110 4G,GSM / HSPA / LTE,133.5 x 49.3 x 14.9 mm (5.26 x 1.94 x 0.59 in),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)",TFT,"2.4 inches, 17.8 cm2 (~27.1% screen-to-body ratio)",KaiOS,4GB 512MB RAM,Dual-core (2x1.1 GHz Cortex-A7),2 MP
170,Nokia 8 Sirocco,GSM / CDMA / HSPA / EVDO / LTE,140.9 x 73 x 7.5 mm (5.55 x 2.87 x 0.30 in),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","P-OLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~81.1% screen-to-body ratio)","Android 8.0 (Oreo), upgradable to Android 9.0 (Pie); Android One",128GB 6GB RAM,Octa-core (4x2.5 GHz Kryo & 4x1.8 GHz Kryo),"12 MP, f/1.8, 25mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF
13 MP, f/2.6, 1/3.4"", 1.0µm, 2x optical zoom, AF"
171,Nokia 7 plus,GSM / CDMA / HSPA / EVDO / LTE,158.4 x 75.6 x 8 mm (6.24 x 2.98 x 0.31 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.4 cm2 (~77.2% screen-to-body ratio)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); Android One","64GB 4GB RAM, 64GB 6GB RAM",Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),"12 MP, f/1.8, 25mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF
13 MP, f/2.6, 1/3.4"", 1.0µm, 2x optical zoom, AF"
172,Nokia 6.1,GSM / HSPA / EVDO / LTE,148.8 x 75.8 x 8.2 mm (5.86 x 2.98 x 0.32 in),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 82.6 cm2 (~73.2% screen-to-body ratio)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); Android One","32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM",Octa-core 2.2 GHz Cortex-A53,"16 MP, f/2.0, 27mm (wide), 1.0µm, PDAF"
173,Nokia 1,GSM / HSPA / LTE,133.6 x 67.8 x 9.5 mm (5.26 x 2.67 x 0.37 in),"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm2 (~61.6% screen-to-body ratio)",Android 8.1 Oreo (Go edition),8GB 1GB RAM,Quad-core 1.1 GHz Cortex-A53,5 MP
